Project_ID,Work description,Work category,Hon'ble Members of Parliament,Constituency,State,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,Sanction Amount ( ₹ ),Work Status,Fund Disbursed Amount ( ₹ ),Payment Status,Completion Date,Amount Disbursed ( ₹ ),riskScore,riskLevel
161210.0,"construction of open gym in puthukkulangara area, ward-21 in pirayiri grama panchayath.",normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,1000000.0,2026-07-23,1000000.0,Sanction,,,,,5,LOW
161211.0,"mini mast light at thekkekunnampalam junction, ward -5 in marutharode grama panchayath.",normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,172428.0,2025-05-02,172428.0,Physical Inspection,172428.0,Payment Success,2026-01-03,172428,5,LOW
161214.0,construction of pcc road (400 ft.) from hukunath mahto's house via goverdhan mahto's house at village halmad (barwatoli) under silli block.,normal/others,Sanjay Seth,RANCHI,Jharkhand,2024-12-24,579100.0,2024-12-26,579100.0,Physical Inspection,579100.0,Payment Success,2025-11-30,579100,5,LOW
161215.0,"construction of platform near dinbandhu's house at jamnitand, harimandir under bansaruli panchayat, silli block.",normal/others,Sanjay Seth,RANCHI,Jharkhand,2024-12-24,227400.0,2024-12-26,227400.0,Physical Inspection,227400.0,Payment Success,2025-11-30,227400,5,LOW
161216.0,"construction of pcc road at road no-2 and road no-4, under ward no.-27, ranchi.",normal/others,Sanjay Seth,RANCHI,Jharkhand,2024-12-24,390600.0,2024-12-26,390600.0,Physical Inspection,390600.0,Payment Success,2026-04-03,390600,5,LOW
161217.0,"construction of pcc road (400 ft.) at village kasidih till ram mandir under galau panchayat, sonahatu block.",normal/others,Sanjay Seth,RANCHI,Jharkhand,2024-12-24,579100.0,2024-12-26,579100.0,Physical Inspection,579100.0,Payment Success,2025-11-30,579100,5,LOW
161218.0,"construction of platform near kiran mahto's house at village narsingh lowadih under landupdih panchayat, sonahatu block.",normal/others,Sanjay Seth,RANCHI,Jharkhand,2024-12-24,227400.0,2024-12-26,227400.0,Physical Inspection,227400.0,Payment Success,2025-11-30,227400,5,LOW
161220.0,beautification and improvement of rabindra vivekananda park (wireless park) under ward 97 in tollyganj ac under borough x,repair and renovation,SAYANI GHOSH,JADAVPUR,West Bengal,2024-12-24,800000.0,2025-07-15,800000.0,Sanction,,,,,25,LOW
161221.0,"roadside beautification by providing grill fencing and other allied works, opposite to future foundation school under ward no 98 in tollyganj ac under borough x",normal/others,SAYANI GHOSH,JADAVPUR,West Bengal,2024-12-24,800000.0,2025-05-22,800000.0,Vendor Identification,796612.0,Payment Success,,,25,LOW
161222.0,"construction of boundary wall with iron grill fencing of the field adjacent to pragati sangha club at ramgarh, kolkata 700047 under ward no 100 in tollyganj ac under borough x",normal/others,SAYANI GHOSH,JADAVPUR,West Bengal,2024-12-24,800000.0,2025-07-29,800000.0,Sanction,,,,,25,LOW
161223.0,"construction of  pathways or any other road with drainage system, concreting",normal/others,GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,Maharashtra,2025-01-17,2500000.0,2026-02-16,2500000.0,Vendor Identification,2498104.0,Payment Success,,,65,MODERATE
161224.0,construction of cc road from kaiwara village to nayindrahalli cross.,normal/others,M. MALLESH BABU,KOLAR(SC),Karnataka,2025-01-07,499000.0,2026-04-21,499000.0,Work partially Completed,249500.0,Payment Success,,,25,LOW
161225.0,construction of cc road from k.venkateshappa house to e.ashwathareddy house,normal/others,M. MALLESH BABU,KOLAR(SC),Karnataka,2025-01-07,499000.0,2025-08-13,499000.0,Work partially Completed,498769.0,Payment Success,,,25,LOW
161226.0,construction of cc road from ramanji house to ravannamma house.,normal/others,M. MALLESH BABU,KOLAR(SC),Karnataka,2025-01-07,250000.0,2026-04-21,250000.0,Work partially Completed,249305.0,Payment Success,,,25,LOW
